step, predict, noAA
1250,912.215,0
1260,828.455,0
1270,1387.68,0
1280,1314.57,0
1290,1081.62,0
1300,1300.38,0
1310,872.067,0
1320,773.931,0
1330,1120.6,0
1340,905.754,0
1350,605.126,0
1360,677.796,0
1370,777.887,0
1380,729.534,0
1390,451.473,0
1400,724.387,0
1410,650.662,0
1420,759.331,0
1430,527.636,0
1440,492.651,0
1450,652.988,0
1460,503.248,0
1470,293.607,0
1480,777.421,0
1490,384.634,0
1500,646.781,0
1510,429.278,0
1520,413.88,0
1530,473.244,0
1540,313.587,0
1550,506.835,0
1560,235.173,0
1570,318.487,0
1580,186.222,0
1590,302.504,0
1600,186.487,0
1610,277.562,0
1620,277.443,0
1630,252.739,0
1640,397.909,0
1650,284.539,0
1660,342.205,0
1670,245.07,0
1680,214.655,0
1690,324.555,0
1700,137.59,0
1710,164.913,0
1720,335.987,0
1730,242.063,0
1740,179.163,0
1750,199.516,0
1760,194.269,0
1770,236.618,0
1780,178.881,0
1790,233.777,0
1800,204.222,0
1810,184.668,0
1820,156.148,0
1830,202.009,0
1840,161.226,0
1850,119.66,0
1860,139.549,0
1870,219.985,0
1880,150.354,0
1890,150.91,0
1900,192.701,0
1910,119.575,0
1920,100.443,0
1930,74.6437,0
1940,84.0005,0
1950,110.718,0
1960,121.858,0
1970,105.156,0
1980,124.194,0
1990,48.6074,0
2000,135.194,0
2010,83.7465,0
2020,31.789,0
2030,87.1415,0
2040,101.825,0
2050,123.264,0
2060,92.8007,0
2070,75.7911,0
2080,78.0655,0
2090,73.5022,0
2100,53.5844,0
2110,40.3728,0
2120,51.8759,0
2130,55.7635,0
2140,61.8779,0
2150,35.2961,0
2160,55.2459,0
2170,58.314,0
2180,32.044,0
2190,29.8404,0
2200,43.7722,0
2210,39.7632,0
2220,24.8858,0
2230,37.0704,0
2240,58.4283,0
2250,30.2618,0
2260,47.6339,0
2270,26.0762,0
2280,16.4633,0
2290,20.9555,0
2300,25.0898,0
2310,22.4922,0
2320,27.9033,0
2330,34.2083,0
2340,39.1234,0
2350,27.019,0
2360,28.6827,0
2370,22.2432,0
2380,29.8896,0
2390,25.3641,0
2400,18.8618,0
2410,28.8206,0
2420,25.9092,0
2430,27.9719,0
2440,26.8164,0
2450,10.7865,0
2460,9.28178,0
2470,20.4704,0
2480,17.8708,0
2490,14.7444,0
2500,6.6576,0
2510,8.07109,0
2520,10.9478,0
2530,14.7335,0
2540,13.0658,0
2550,16.6216,0
2560,11.6557,0
2570,8.46799,0
2580,12.2405,0
2590,11.5096,0
2600,7.85892,0
2610,7.77424,0
2620,9.13771,0
2630,5.3344,0
2640,5.96287,0
2650,6.08288,0
2660,7.84977,0
2670,8.46571,0
2680,7.41477,0
2690,8.61676,0
2700,7.93749,0
2710,8.61307,0
2720,7.52687,0
2730,7.1164,0
2740,12.0071,0
2750,16.7656,0
2760,17.4104,0
2770,13.3474,0
2780,9.24495,0
2790,13.3168,0
2800,23.1653,0
2810,16.3175,0
2820,23.3341,0
2830,21.8194,0
2840,24.6021,0
2850,26.6492,0
2860,18.6654,0
2870,10.42,0
2880,8.59539,0
2890,18.0202,0
2900,12.2564,0
2910,13.0241,0
2920,16.5601,0
2930,9.86037,0
2940,17.9648,0
2950,21.5715,0
2960,19.5509,0
2970,19.5835,0
2980,18.207,0
2990,15.6179,0
3000,20.2068,0
3010,14.048,0
3020,14.1779,0
3030,24.7416,0
3040,26.2679,0
3050,25.7849,0
3060,9.07594,0
3070,11.3282,0
3080,12.1711,0
3090,17.3484,0
3100,13.48,0
3110,19.8534,0
3120,14.4877,0
3130,15.3891,0
3140,5.03333,0
3150,13.1618,0
3160,9.67392,0
3170,7.57347,0
3180,13.6129,0
3190,22.3607,0
3200,9.75693,0
3210,11.4403,0
3220,9.22221,0
3230,8.37315,0
3240,8.67293,0
3250,6.35149,0
3260,4.67852,0
3270,5.54778,0
3280,20.2995,0
3290,31.8457,0
3300,15.6857,0
3310,18.7641,0
3320,10.532,0
3330,13.4561,0
3340,12.5787,0
3350,7.63216,0
3360,11.8673,0
3370,15.5713,0
3380,9.44222,0
3390,8.12953,0
3400,8.21818,0
3410,5.32149,0
3420,3.12379,0
3430,6.61894,0
3440,7.28588,0
3450,4.12265,0
3460,4.46666,0
3470,2.03609,0
3480,2.3273,0
3490,2.1246,0
3500,2.46858,0
3510,4.10503,0
3520,1.94639,0
3530,3.02853,0
3540,2.62799,0
3550,2.07253,0
3560,2.35354,0
3570,0.863034,0
3580,0.968424,0
3590,1.55802,0
3600,1.36101,0
3610,0.916929,0
3620,1.20291,0
3630,1.12084,0
3640,1.27524,0
3650,1.1407,0
3660,1.34325,0
3670,0.651985,0
3680,0.890626,0
3690,1.15988,0
3700,0.627328,0
3710,1.02408,0
3720,1.50755,0
3730,1.55562,0
3740,2.94559,0
3750,1.46454,0
3760,4.30435,0
3770,8.71556,0
3780,7.68846,0
3790,11.5749,0
3800,5.59694,0
3810,10.9919,0
3820,6.80274,0
3830,4.64209,0
3840,3.80059,0
3850,3.84748,0
3860,4.39211,0
3870,5.68012,0
3880,21.4161,0
3890,12.1505,0
3900,13.8408,0
3910,31.4524,0
3920,38.2381,0
3930,35.9752,0
3940,33.4341,0
3950,19.7653,0
3960,31.8069,0
3970,29.1621,0
3980,11.7368,0
3990,5.36282,0
4000,5.53062,0
4010,4.67109,0
4020,2.79578,0
4030,7.5259,0
4040,8.13337,0
4050,10.6965,0
4060,6.7442,0
4070,5.58866,0
4080,2.29573,0
4090,4.15672,0
4100,4.53221,0
4110,5.8229,0
4120,6.26875,0
4130,13.6181,0
4140,17.4705,0
4150,12.0653,0
4160,10.7725,0
4170,11.43,0
4180,6.98551,0
4190,4.70389,0
4200,3.63352,0
4210,2.72749,0
4220,3.61061,0
4230,3.87621,0
4240,4.66995,0
4250,2.45815,0
4260,2.03009,0
4270,2.33228,0
4280,4.23119,0
4290,4.52883,0
4300,4.12249,0
4310,2.35496,0
4320,5.22172,0
4330,7.76231,0
4340,8.83987,0
4350,5.57118,0
4360,8.02909,0
4370,6.42192,0
4380,5.89264,0
4390,4.03713,0
4400,3.14057,0
4410,4.96056,0
4420,1.88803,0
4430,1.89571,0
4440,1.25368,0
4450,1.36297,0
4460,2.20377,0
4470,2.17796,0
4480,3.38951,0
4490,2.75224,0
4500,1.40081,0
4510,1.57243,0
4520,1.34726,0
4530,1.69701,0
4540,0.845435,0
4550,0.873106,0
4560,1.21694,0
4570,2.87617,0
4580,5.45036,0
4590,2.48656,0
4600,4.22307,0
4610,7.0829,0
4620,7.65611,0
4630,9.35217,0
4640,6.40039,0
4650,36.6471,0
4660,32.2811,0
4670,16.2683,0
4680,13.8655,0
4690,6.2782,0
4700,5.73716,0
4710,6.55394,0
4720,6.204,0
4730,6.00632,0
4740,15.4514,0
4750,10.1245,0
4760,10.9504,0
4770,9.10335,0
4780,5.25488,0
4790,2.42426,0
4800,5.76579,0
4810,23.6633,0
4820,19.2955,0
4830,13.4314,0
4840,12.1185,0
4850,12.1685,0
4860,9.5781,0
4870,3.17393,0
4880,7.34437,0
4890,6.40823,0
4900,6.99804,0
4910,29.3444,0
4920,26.5187,0
4930,17.7674,0
4940,18.7036,0
4950,26.5281,0
4960,23.696,0
4970,20.7677,0
4980,24.9107,0
4990,17.1364,0
5000,10.0053,0
